#MONSTERID,モンスター名,PICTID,種別ID,憑依時間,再憑依時間,体の幅,体の長さ,特殊情報,,,,,,,,,,,,,,,,基本パラメータ,,,,,,,,戦闘パラメータ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,属性値,,,,,,,状態異常耐性,,,,,,,,,スキルリスト,,,,,,得意な採集カテゴリー※７月２５日追加,
#,,,,(秒),(秒),,,飛行,アンデッド,霊,水中呼吸,真空耐性,熱耐性,冷気耐性,予備,予備,予備,予備,予備,予備,予備,予備,予備,腕力,魔力,体力,器用度,敏捷度,知性,運,魅力,最大HP,最大SP,最大MP,移動速度,最低攻撃力叩,最高攻撃力叩,最低攻撃力斬,最高攻撃力斬,最低攻撃力突,最高攻撃力突,最低魔法攻撃力,最高魔法攻撃力,物理防御－,物理防御％,魔法防御－,魔法防御％,近距離命中力,遠距離命中力,魔法命中力,近距離回避力,遠距離回避力,魔法回避力,クリティカル力,クリティカル回避力,回復力,魔法回復力,攻撃速度,詠唱速度,同調値,無,火,水,風,土,光,闇,毒,石化,麻痺,睡眠,沈黙,鈍足化,混乱,氷結,気絶,スキルID1,スキルID2,スキルID3,スキルID4,スキルID5,スキルID6,植物採集,鉱物採集,食べ物採集,魔法物採集,宝箱採集,発掘品採集,何でも採集,変なもの採集,
#99999999,全角１６文字までＯＫ,99999999,HUMAN,180,300,1,1,0,0,0,,,,,,,,,,,,,,127,127,127,127,127,127,127,127,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,0,0,0,0,0,0,0,0,
10030001,电路机械,10030001,MACHINE,180,300,1,1,0,0,0,1,0,1,0,,,,,,,,,,11,-7,20,3,-13,-8,0,0,40,11,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,30,0,0,-10,0,0,-30,-10,30,5500,5008,0,0,0,0,0,0,0,0,1,0,0,1,
10030002,电路机械,10030002,MACHINE,180,300,1,1,0,0,0,1,0,1,0,,,,,,,,,,12,-7,21,3,-12,-8,0,9,55,31,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,30,0,0,-10,0,0,-30,-10,30,5500,5008,0,0,0,0,0,0,0,0,1,0,0,1,
20270000,破坏零号机TypeZero,20270000,MACHINE,180,300,1,1,0,0,0,1,0,1,0,,,,,,,,,,11,-7,20,3,-13,-8,0,0,40,11,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,30,0,0,-10,0,0,-30,-10,30,5519,5008,0,0,0,0,0,0,0,0,1,0,0,1,
20290000,武者电路机械,20290000,MACHINE,180,300,1,1,0,0,0,1,0,1,0,,,,,,,,,,11,-7,20,3,-13,-8,0,0,40,11,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,30,0,0,-10,0,0,-30,-10,30,5008,0,0,0,0,0,0,0,0,0,1,0,0,1,
10530700,V,10530700,ANIMAL,180,300,1,1,0,0,0,0,0,0,1,,,,,,,,,,13,-10,20,0,-15,-10,0,0,30,15,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,10,0,0,-10,-30,10,30,-10,5008,0,0,0,0,0,0,0,1,0,0,0,1,1,
20400001,特别的电路机械,20400001,MACHINE,180,300,1,1,0,0,0,1,0,1,0,,,,,,,,,,3,0,5,0,0,-3,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,30,0,0,-10,0,0,-30,-10,30,5528,5008,0,0,0,0,0,0,0,0,1,0,0,1,
20400002,特别的电路机械（黑色）,20400002,MACHINE,180,300,1,1,0,0,0,1,0,1,0,,,,,,,,,,3,0,5,0,0,-3,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,30,0,0,-10,0,0,-30,-10,30,5528,5008,0,0,0,0,0,0,0,0,1,0,0,1,
10027000,皮诺,10027000,ELEMENT,180,300,1,1,0,0,0,0,0,0,0,,,,,,,,,,0,3,-5,7,10,0,0,0,10,5,20,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,5506,5010,0,0,0,0,0,0,0,1,0,0,0,0,
10027001,皮诺,10027001,ELEMENT,180,300,1,1,0,0,0,0,0,0,0,,,,,,,,,,0,3,-5,7,10,0,0,15,25,20,35,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,5506,5010,0,0,0,0,0,0,0,1,0,0,0,0,
10027002,皮诺,10027002,ELEMENT,180,300,1,1,0,0,0,0,0,0,0,,,,,,,,,,0,4,-5,10,15,0,0,0,15,7,30,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,5506,5010,0,0,0,0,0,0,0,1,0,0,0,0,
10027003,超级活动木偶·皮诺,10027002,ELEMENT,180,300,1,1,0,0,0,0,0,0,0,,,,,,,,,,0,4,-5,10,15,0,0,0,15,7,30,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,5506,5010,0,0,0,0,0,0,0,1,0,0,0,0,
10019300,冰精灵,10019300,ELEMENT,180,300,1,1,1,0,0,1,0,0,1,,,,,,,,,,0,8,-3,0,5,7,0,0,20,3,30,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,-10,0,0,0,-10,0,-10,30,0,5509,5010,0,0,0,0,0,0,0,1,0,0,0,0,
10019301,冰精灵,10019301,ELEMENT,180,300,1,1,1,0,0,1,0,0,1,,,,,,,,,,0,8,-3,0,5,7,0,17,35,25,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,-10,0,0,0,-10,0,-10,30,0,5509,5010,0,0,0,0,0,0,0,1,0,0,0,0,
10019302,冰精灵,10019302,ELEMENT,180,300,1,1,1,0,0,1,0,0,1,,,,,,,,,,0,12,-3,0,7,10,0,0,30,4,45,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,-10,0,0,0,-10,0,-10,45,0,5509,5010,0,0,0,0,0,0,0,1,0,0,0,0,
10019303,超级活动木偶·冰精灵,10019302,ELEMENT,180,300,1,1,1,0,0,1,0,0,1,,,,,,,,,,0,12,-3,0,7,10,0,0,30,4,45,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,-10,0,0,0,-10,0,-10,45,0,5509,5010,0,0,0,0,0,0,0,1,0,0,0,0,
10021800,转轴机械,10021800,MACHINE,180,300,1,1,1,0,0,1,0,1,0,,,,,,,,,,-8,0,-8,5,8,10,0,0,20,5,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5515,5009,0,0,0,0,0,0,0,0,0,0,0,0,
10022000,泰迪,10022000,MAGIC_CREATURE,180,300,1,1,0,0,0,0,0,0,0,,,,,,,,,,-3,7,-5,0,2,3,0,0,0,2,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-30,-30,0,-30,-30,-30,-30,-30,-30,5513,5010,0,0,0,0,1,0,0,1,0,0,1,0,
10022001,泰迪,10022001,MAGIC_CREATURE,180,300,1,1,0,0,0,0,0,0,0,,,,,,,,,,-3,10,-5,0,3,4,0,0,0,3,15,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-30,-30,0,-30,-30,-30,-30,-30,-30,5513,5010,0,0,0,0,1,0,0,1,0,0,1,0,
10022002,超级活动木偶·泰迪,10022001,MAGIC_CREATURE,180,300,1,1,0,0,0,0,0,0,0,,,,,,,,,,-3,10,-5,0,3,4,0,0,0,3,15,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,-30,-30,0,-30,-30,-30,-30,-30,-30,5513,5010,0,0,0,0,1,0,0,1,0,0,1,0,
10022050,白色泰迪,10022050,MAGIC_CREATURE,180,300,1,1,0,0,0,0,0,0,0,,,,,,,,,,-3,7,-5,0,2,3,0,0,0,2,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-30,-30,0,-30,-30,-30,-30,-30,-30,5513,5010,0,0,0,0,1,0,0,1,0,0,1,0,
10022051,圣诞泰迪,10022051,MAGIC_CREATURE,180,300,1,1,0,0,0,0,0,0,0,,,,,,,,,,-3,7,-5,0,2,3,0,0,0,2,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-30,-30,0,-30,-30,-30,-30,-30,-30,5513,5010,0,0,0,0,1,0,0,1,0,0,1,0,
10022052,小小泰迪,10022052,MAGIC_CREATURE,180,300,1,1,0,0,0,0,0,0,0,,,,,,,,,,-3,7,-5,0,2,3,0,0,0,2,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-30,-30,0,-30,-30,-30,-30,-30,-30,5513,5010,0,0,0,0,1,0,0,1,0,0,1,0,
10022053,德普提,10022053,MAGIC_CREATURE,180,300,1,1,0,0,0,0,0,0,0,,,,,,,,,,-3,7,-5,0,2,3,0,0,0,2,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-30,-30,0,-30,-30,-30,-30,-30,-30,5513,5010,0,0,0,0,1,0,0,1,0,0,1,0,
10022054,皮格夫,10022054,MAGIC_CREATURE,180,300,0.8,0.8,0,0,0,0,0,0,0,,,,,,,,,,-3,7,-5,0,2,3,0,0,0,2,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-30,-30,0,-30,-30,-30,-30,-30,-30,5513,5010,0,0,0,0,1,0,0,1,0,0,1,0,
10022055,坏掉的玩偶熊,10022055,MAGIC_CREATURE,180,300,0.5,0.5,0,0,0,0,0,0,0,,,,,,,,,,-3,7,-5,0,2,3,0,0,0,2,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-30,-30,0,-30,-30,-30,-30,-30,-30,5513,5010,0,0,0,0,1,0,0,1,0,0,1,0,
10019400,鱼人,10019400,WATER_ANIMAL,180,300,1,1,0,0,0,1,0,0,1,,,,,,,,,,10,-10,7,-3,3,-7,0,0,0,17,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,-30,0,0,30,0,0,-10,30,-10,5510,5009,0,0,0,0,0,0,1,0,0,0,0,1,
10019401,红色鱼人,10019401,WATER_ANIMAL,180,300,1,1,0,0,0,1,0,0,1,,,,,,,,,,10,-10,7,-3,3,-7,0,0,0,17,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,-30,0,0,30,0,0,-10,30,-10,5510,5009,0,0,0,0,0,0,1,0,0,0,0,1,
10019402,金色鱼人,10019402,WATER_ANIMAL,180,300,1,1,0,0,0,1,0,0,1,,,,,,,,,,10,-10,7,-3,3,-7,0,0,0,17,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,-30,0,0,30,0,0,-10,30,-10,5510,5009,0,0,0,0,0,0,1,0,0,0,0,1,
10019403,鱼人歌舞伎,10019403,WATER_ANIMAL,180,300,1,1,0,0,0,1,0,0,1,,,,,,,,,,10,-10,7,-3,3,-7,0,0,0,17,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,-30,0,0,30,0,0,-10,30,-10,5510,5009,0,0,0,0,0,0,1,0,0,0,0,1,
10019404,黑色鱼人,10019404,WATER_ANIMAL,180,300,1,1,0,0,0,1,0,0,1,,,,,,,,,,10,-10,7,-3,3,-7,0,0,0,17,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,-30,0,0,30,0,0,-10,30,-10,5510,5009,0,0,0,0,0,0,1,0,0,0,0,1,
10019408,鱼人盗贼,10019408,WATER_ANIMAL,180,300,1,1,0,0,0,1,0,0,1,,,,,,,,,,10,-10,7,-3,3,-7,0,0,0,17,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,-30,0,0,30,0,0,-10,30,-10,5526,5009,0,0,0,0,0,0,1,0,0,0,0,1,
10019410,圣诞鱼人盗贼,10019410,WATER_ANIMAL,180,300,1,1,0,0,0,1,0,0,1,,,,,,,,,,10,-10,7,-3,3,-7,0,0,0,17,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,-30,0,0,30,0,0,-10,30,-10,5526,5009,0,0,0,0,0,0,1,0,0,0,0,1,
10011500,矿石精灵,10011500,MAGIC_CREATURE,180,300,1,1,1,0,0,1,0,0,0,,,,,,,,,,-12,0,-10,8,12,9,0,0,20,0,20,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,30,30,0,-10,-10,30,0,0,0,3097,5009,0,0,0,0,0,1,0,1,0,1,0,0,
10013850,烈焰蜥蜴,10013850,ELEMENT,180,300,1,1,0,0,0,0,0,1,0,,,,,,,,,,5,2,7,-5,-6,0,0,0,30,13,5,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,30,10,0,0,0,0,-30,-30,10,5504,5008,0,0,0,0,0,0,1,1,0,0,1,0,
20040300,邪恶的烈焰蜥蜴,20040300,ELEMENT,180,300,1,1,0,0,0,0,0,1,0,,,,,,,,,,5,2,7,-5,-6,0,0,0,30,13,5,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,30,10,0,0,0,0,-30,-30,10,5522,5008,0,0,0,0,0,0,1,1,0,0,1,0,
26040003,西菲露,26040003,ELEMENT,180,300,2,2,0,0,0,0,0,1,0,,,,,,,,,,5,2,7,-5,-6,0,0,0,30,13,5,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,30,10,0,0,0,0,-30,-30,10,5525,5008,0,0,0,0,0,0,1,1,0,0,1,0,
20040301,蒂塔的烈焰蜥蜴,20040301,ELEMENT,180,300,1,1,0,0,0,0,0,1,0,,,,,,,,,,18,20,12,27,25,10,30,0,150,60,200,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,30,10,0,0,0,0,-30,-30,10,5504,5008,0,0,0,0,0,0,1,1,0,0,1,0,
10013000,小妖精,10013000,INSECT,180,300,1,1,1,0,0,0,0,0,1,,,,,,,,,,-8,8,-8,0,8,10,0,0,20,5,30,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,-30,-30,0,0,0,30,0,0,0,5501,5010,0,0,0,0,1,0,1,1,0,0,0,0,
10013001,小妖精,10013001,INSECT,180,300,1,1,1,0,0,0,0,0,1,,,,,,,,,,-8,12,-8,0,12,15,0,0,30,7,45,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,-30,-30,0,0,0,45,0,0,0,5501,5010,0,0,0,0,1,0,1,1,0,0,0,0,
10013002,超级活动木偶·小妖精,10013001,INSECT,180,300,1,1,1,0,0,0,0,0,1,,,,,,,,,,-8,12,-8,0,12,15,0,0,30,7,45,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,-30,-30,0,0,0,45,0,0,0,5501,5010,0,0,0,0,1,0,1,1,0,0,0,0,
10019200,曼陀罗草,10019200,ELEMENT,180,300,1,1,0,0,0,0,0,0,0,,,,,,,,,,0,2,-2,0,-4,0,0,0,25,8,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,-30,10,0,10,10,-10,0,0,10,5507,5010,0,0,0,0,1,1,0,1,0,0,0,0,
10021700,火焰凤凰,10021700,ELEMENT,180,300,1,1,0,0,0,0,0,1,0,,,,,,,,,,4,7,0,-4,-3,5,0,0,30,15,30,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,10,0,0,-10,-30,10,30,-10,5505,5008,0,0,0,0,0,0,0,1,1,1,0,0,
